,capacity_mw,area_sq_km,latitude,longitude
211,245156.20874500007,7661.131522780002,34.0,-95.0
212,308898.85613200016,9653.089253940003,34.0,-96.0
213,281505.1447909999,8797.03577452,34.0,-97.0
214,297763.976733,9305.124272800003,34.0,-98.0
215,318744.7003919999,9960.77188662,34.0,-99.0
216,332021.1290399999,10375.6602823,35.0,-100.0
217,296368.73173400015,9261.522866399999,35.0,-101.0
218,302599.55219599995,9456.2360058,35.0,-102.0
219,312715.83811899996,9772.369941000004,35.0,-103.0
220,320875.807481,10027.368984000004,35.0,-104.0
221,310431.455486,9700.98298372,35.0,-105.0
222,269069.4641798,8408.420755653004,35.0,-106.0
223,278854.25073677,8714.195335070002,35.0,-107.0
224,227553.87798738,7111.058686936,35.0,-108.0
225,319173.05417569994,9974.157942112002,35.0,-109.0
226,279249.6409994,8726.551280938998,35.0,-110.0
227,202786.13644089998,6337.066763760001,35.0,-111.0
228,69579.31097728001,2174.353468062,35.0,-112.0
229,243663.79562784993,7614.493613439998,35.0,-113.0
230,259436.98382490003,8107.40574466,35.0,-114.0
231,50610.883341320005,1581.5901043530005,35.0,-115.0
232,37734.11301175499,1179.191031667,35.0,-116.0
233,83040.24342480002,2595.0076072149996,35.0,-117.0
234,179584.99291796001,5612.031028453,35.0,-118.0
235,146098.06738790002,4565.564605645001,35.0,-119.0
236,170975.93926842,5342.998101800999,35.0,-120.0
237,42338.736263841,1323.0855081379998,35.0,-121.0
238,5092.639613390001,159.144987918,35.0,-76.0
239,101349.88572799102,3167.1839290289986,35.0,-77.0
240,212662.21610194002,6645.694253399997,35.0,-78.0
241,196589.13377589997,6143.410430354,35.0,-79.0
242,237514.86707970002,7422.339596213001,35.0,-80.0
243,234483.1179996,7327.597437535001,35.0,-81.0
244,255925.71386339996,7997.678558051001,35.0,-82.0
245,139353.17095353,4354.786592167001,35.0,-83.0
246,70598.984626261,2206.218269452,35.0,-84.0
247,225513.06733840005,7047.283354169,35.0,-85.0
248,293361.81303300004,9167.556657160003,35.0,-86.0
249,267140.53743860003,8348.141795009,35.0,-87.0
250,287782.07539,8993.189855349998,35.0,-88.0
251,235007.35909809996,7343.979971980999,35.0,-89.0
252,240268.61264200005,7508.394144922999,35.0,-90.0
253,223310.56720700004,6978.455225579998,35.0,-91.0
254,269485.1334036,8421.410418749998,35.0,-92.0
255,188404.30950580002,5887.634671939999,35.0,-93.0
256,151430.16861676998,4732.192769176999,35.0,-94.0
257,239061.47606246002,7470.6711269809975,35.0,-95.0
258,295151.47335600003,9223.483542169999,35.0,-96.0
259,264726.8609833,8272.714405589999,35.0,-97.0
260,286160.86209213,8942.526940050004,35.0,-98.0
261,271859.20858878,8495.60026835,35.0,-99.0
262,300201.50847199996,9381.297139899994,36.0,-100.0
263,303189.869818,9474.683431729996,36.0,-101.0
264,294580.12163099996,9205.628801230003,36.0,-102.0
265,319497.243924,9984.288872300005,36.0,-103.0
266,323317.442364,10103.670073769994,36.0,-104.0
267,251376.54158388003,7855.5169239800025,36.0,-105.0
268,100261.72843071999,3133.179013443,36.0,-106.0
269,222641.08083153996,6957.533775901002,36.0,-107.0
270,295332.80716799997,9229.150223560002,36.0,-108.0
271,293860.18869399995,9183.130896649998,36.0,-109.0
272,323529.31077999994,10110.290961799998,36.0,-110.0
273,313319.53763149993,9791.235550890999,36.0,-111.0
274,157713.45380639998,4928.5454312580005,36.0,-112.0
275,205841.83244420006,6432.557264212,36.0,-113.0
276,124512.26449473998,3891.008265558,36.0,-114.0
277,122171.03763138999,3817.844926177,36.0,-115.0
278,93047.18307205799,2907.724470948,36.0,-116.0
279,34332.70712303,1072.8970974210001,36.0,-117.0
280,38333.7362858,1197.9292589559998,36.0,-118.0
281,225342.69372359998,7041.959178723997,36.0,-119.0
282,299293.32811199996,9352.91650359,36.0,-120.0
283,217908.02565788507,6809.62580156,36.0,-121.0
284,13295.84576366,415.495180098,36.0,-122.0
285,57639.28905766003,1801.227783032,36.0,-76.0
286,211753.05648949996,6617.283015161998,36.0,-77.0
287,240498.33715399998,7515.573036049998,36.0,-78.0
288,242336.45790710003,7573.014309649997,36.0,-79.0
289,258556.74806310004,8079.898376810999,36.0,-80.0
290,294365.70501499996,9198.928282059995,36.0,-81.0
291,121319.01266696997,3791.2191456699993,36.0,-82.0
292,205009.39607655996,6406.543627307002,36.0,-83.0
293,245920.75493169,7685.023591264002,36.0,-84.0
294,289176.74400999997,9036.77325055,36.0,-85.0
295,291428.747531,9107.148360610006,36.0,-86.0
296,262838.9259379,8213.716435258,36.0,-87.0
297,282840.97653900005,8838.780516490002,36.0,-88.0
298,262078.95263399993,8189.967269389998,36.0,-89.0
299,266387.75573100004,8324.617366260001,36.0,-90.0
300,289768.98361900006,9055.280737950001,36.0,-91.0
301,270955.69629153,8467.365508910996,36.0,-92.0
302,228011.16288260007,7125.348839719999,36.0,-93.0
303,213033.4357188999,6657.294866382002,36.0,-94.0
304,275042.6315460001,8595.08223547,36.0,-95.0
305,285555.6814939701,8923.615046175,36.0,-96.0
306,264441.11285199993,8263.784776749999,36.0,-97.0
307,292378.2002937001,9136.818758669999,36.0,-98.0
308,274901.42120800004,8590.669412669999,36.0,-99.0
309,286665.19271000003,8958.287272099999,37.0,-100.0
310,280052.26006199996,8751.633126599998,37.0,-101.0
311,319002.109656,9968.815926699997,37.0,-102.0
312,308716.776232,9647.399257700004,37.0,-103.0
313,287286.1876226,8977.693363180002,37.0,-104.0
314,182139.02468749994,5691.844521132,37.0,-105.0
315,130485.65320917997,4077.676662857001,37.0,-106.0
316,157728.14085194998,4929.004401646999,37.0,-107.0
317,249454.89601855003,7795.465500301996,37.0,-108.0
318,281105.9660916001,8784.56144043,37.0,-109.0
319,291226.6216487001,9100.831926230003,37.0,-110.0
320,198383.41876400006,6199.4818364,37.0,-111.0
321,110206.58497339,3443.9557802170007,37.0,-112.0
322,243967.40240696003,7623.9813248149985,37.0,-113.0
323,160004.07649588,5000.127390276,37.0,-114.0
324,122274.77694883,3821.086779659,37.0,-115.0
325,51713.96376363,1616.0613676799999,37.0,-116.0
326,125065.74947340002,3908.304670809999,37.0,-117.0
327,53743.36280740001,1679.4800877240002,37.0,-118.0
